Product name,Product link,Product cost,Product amount,Notes
100 Ohm resistor,https://www.aliexpress.us/item/3256811699109203.html,$0.01,2,Link leads to listing with 100 pieces available only. Price specified per unit; it is $0.99 to buy 100 pcs.
150 Ohm resistor,https://www.aliexpress.us/item/3256811699109203.html,$0.01,1,Link leads to listing with 100 pieces available only. Price specified per unit; it is $0.99 to buy 100 pcs.
4-pin female headers,https://www.aliexpress.us/item/2255801012106911.html,$0.14,4,Two of these are for the attiny85; not required if you're planning to solder it permanently.
SSD1306 i2c OLED display,https://www.aliexpress.us/item/3256811467366210.html,$4.20,1,Link leads to listing with 3 pieces available only. Price specified per unit; it is $12.60 to buy 3 pcs.
FG TC-6601-5.0-260-8.3,https://www.lcsc.com/product-detail/C7528752.html,$0.03,2,
CR2032 battery holder with switch,https://www.aliexpress.us/item/3256806989197470.html,$1.29,1,
BMP180,https://www.aliexpress.us/item/3256806939325524.html,$2.71,1,
RGB LED,https://www.aliexpress.us/item/3256804777276319.html,$0.06,1,Link leads to listing with 3 pieces available only. Price specified per unit; it is $12.60 to buy 3 pcs. Also choose the transparent cathode option.
Total,,$8.45,,
